id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h,labels
1,283245,716,393,673,657,908.515625,857.796875,1.0323505401611328,0.991011917591095,0,0,2005,1339,0
1,280475,727,390,652,656,908.515625,732.265625,1.04594087600708,0.991040825843811,0,0,2005,1339,0
0,278524,737,386,632,655,1284.453125,606.734375,1.046034812927246,0.9924991130828856,0,0,2005,1339,0
0,275413,751,384,608,653,845.859375,774.109375,1.0470486879348757,0.9913259148597716,0,0,2005,1339,0
1,272951,762,381,584,648,1284.453125,648.578125,1.0503532886505127,0.992663025856018,0,0,2005,1339,0
0,270128,766,380,566,642,1284.453125,648.578125,1.0644245147705078,0.992230236530304,0,0,2005,1339,0
0,268036,758,380,557,634,1221.796875,564.890625,1.043563723564148,0.9924442768096924,0,0,2005,1339,0
0,266517,737,380,564,628,1221.796875,690.421875,1.0528777837753296,0.9910197257995604,0,0,2005,1339,0
1,265498,716,378,570,620,1221.796875,606.734375,1.0511385202407837,0.9925885200500488,0,0,2005,1339,0
1,264103,697,377,571,611,845.859375,648.578125,1.0461645126342771,0.9915367960929872,0,0,2005,1339,0
0,263934,679,375,574,605,1221.796875,648.578125,1.051797866821289,0.9926620125770568,0,0,2005,1339,0
0,262743,663,375,578,610,1159.140625,690.421875,1.0794005393981934,0.9926323890686036,0,0,2005,1339,0
0,262373,647,374,589,619,1221.796875,774.109375,1.0612821578979492,0.9920535683631896,0,0,2005,1339,0
0,261359,633,374,602,628,1221.796875,690.421875,1.058956503868103,0.9927446842193604,0,0,2005,1339,0
1,260249,620,375,613,635,908.515625,606.734375,1.0451688766479492,0.990946650505066,0,0,2005,1339,0
1,259422,610,377,628,639,971.171875,606.734375,1.0486235618591309,0.9913058280944824,0,0,2005,1339,0
0,258778,599,379,642,643,845.859375,606.734375,1.0631622076034546,0.991172969341278,0,0,2005,1339,0
0,258867,590,382,659,645,720.546875,648.578125,1.0718759298324585,0.9901973009109496,0,0,2005,1339,0
0,260740,581,386,679,647,1159.140625,564.890625,1.0496280193328855,0.9910297393798828,0,0,2005,1339,0
0,260847,576,390,694,644,783.203125,648.578125,1.0591732263565063,0.9912322759628296,0,0,2005,1339,0
0,262075,571,395,711,642,1096.484375,564.890625,1.0490634441375732,0.9916822910308838,0,0,2005,1339,0
0,264605,567,400,727,638,1033.828125,732.265625,1.052356243133545,0.9912766814231871,0,0,2005,1339,0
1,265784,564,408,738,628,908.515625,648.578125,1.0459619760513306,0.9890580177307128,0,0,2005,1339,0
1,269315,563,415,750,619,720.546875,648.578125,1.038225769996643,0.9894980192184448,0,0,2005,1339,0
1,273813,561,424,765,608,720.546875,648.578125,1.0349985361099243,0.9907225370407104,0,0,2005,1339,0
1,277311,563,433,772,594,845.859375,648.578125,1.030888915061951,0.9920517206192015,0,0,2005,1339,0
0,281854,567,441,779,580,1159.140625,606.734375,1.0513135194778442,0.9923760294914246,0,0,2005,1339,0
1,285130,570,446,783,568,783.203125,606.734375,1.0345693826675415,0.9925537705421448,0,0,2005,1339,0
1,288681,574,453,786,552,657.890625,648.578125,1.0437015295028689,0.992517352104187,0,0,2005,1339,0
1,291846,581,457,786,539,908.515625,648.578125,1.037992000579834,0.9925472140312196,0,0,2005,1339,0
0,294457,580,458,791,528,971.171875,481.203125,1.0419713258743286,0.992218852043152,0,0,2005,1339,0
0,297037,576,456,797,519,1284.453125,564.890625,1.0444211959838867,0.9922761917114258,0,0,2005,1339,0
1,299408,572,450,805,513,1284.453125,523.046875,1.0382341146469116,0.9925439953804016,0,0,2005,1339,0
0,301573,569,437,813,514,1159.140625,648.578125,1.0543733835220337,0.9920627474784852,0,0,2005,1339,0
0,303521,567,423,824,515,720.546875,523.046875,1.0511318445205688,0.992123246192932,0,0,2005,1339,0
0,304773,567,408,828,516,783.203125,523.046875,1.0472897291183472,0.9906330704689026,0,0,2005,1339,0
